,Price,SQFT,rooms,Des
0,"₹ 45 Lac
₹ 2,255/sq.ft.","1,995 sq.ft.
(185 sq.m.) Super built-up Area","3 BHK
3 Baths",3 BHK Residential Apartment in Mansarovar Extension
1,"₹ 92 Lac
₹ 3,755/sq.ft.","2,450 sq.ft.
(228 sq.m.) Built-up Area","4 BHK
4 Baths",4 Bedroom Independent House in Mahindra Sez
2,"₹ 38 - 95 Lac
₹ 2,111/sq.ft.","1,800-4,500 sq.ft.
(167-418 sq.m.) Plot Area",,Residential land / Plot in Mahapura
3,₹ 11.65 - 20.99 Lac,"999-1,800 sq.ft.
(93-167 sq.m.) Plot Area",,Residential land / Plot in Jaisinghpura
4,"₹ 2.53 Cr
₹ 6,111/sq.ft.","4,140 sq.ft.
(385 sq.m.) Plot Area",,Residential land / Plot in Vaishali Nagar
5,₹ 41.71 Lac Onwards,"1,231 sq.ft.
(114 sq.m.) Super built-up Area",,2 BHK Residential Apartment in Jagatpura
6,"₹ 65 Lac
₹ 4,460/sq.ft.","1,457 sq.ft.
(135 sq.m.) Built-up Area","3 BHK
4 Baths",3 Bedroom Independent House in Gandhi Path
7,₹ 52 Lac Onwards,"1,490-1,677 sq.ft.
(138-156 sq.m.) Super built-up Area",,3 BHK Residential Apartment in Jagatpura
8,₹ 84.21 Lac,"2,415 sq.ft.
(224 sq.m.) Super built-up Area","4 BHK
4 Baths",4 BHK Residential Apartment in Jagatpura
9,₹ 92.5 Lac,"2,723 sq.ft.
(253 sq.m.) Built-up Area",4 BHK,4 Bedroom Independent House in Mahapura
10,"₹ 7.75 - 23.25 Lac
₹ 861/sq.ft.","900-2,700 sq.ft.
(84-251 sq.m.) Plot Area",,Residential land / Plot in Ajmer Road
11,"₹ 28 Lac
₹ 2,500/sq.ft.","1,151 sq.ft.
(107 sq.m.) Super built-up Area","2 BHK
2 Baths",2 BHK Residential Apartment in Ajmer Road
12,"₹ 1.09 Cr
₹ 12,111/sq.ft.","900 sq.ft.
(84 sq.m.) Plot Area","5 BHK
2 Baths",5 Bedroom Independent House in Shastri Nagar
13,₹ 44.95 Lac,"1,370 sq.ft.
(127 sq.m.) Super built-up Area","3 BHK
3 Baths",3 BHK Residential Apartment in Jagatpura
14,"₹ 65 Lac
₹ 4,460/sq.ft.","1,457 sq.ft.
(135 sq.m.) Built-up Area","3 BHK
4 Baths",3 Bedroom Independent House in Gandhi Path
15,"₹ 60 - 80 Lac
₹ 3,875/sq.ft.","1,600-2,000 sq.ft.
(149-186 sq.m.) Built-up Area",3 BHK,3 Bedroom Independent House in Mansarovar Extension
16,₹ 41.11 Lac,"799 sq.ft.
(74 sq.m.) Carpet Area",2 BHK,2 BHK Residential Apartment in Ajmer Road
17,"₹ 3.5 Cr
₹ 14,620/sq.ft.","2,394 sq.ft.
(222 sq.m.) Plot Area",,Residential land / Plot in Jawahar Nagar
18,"₹ 33.5 Lac
₹ 2,253/sq.ft.","1,486 sq.ft.
(138 sq.m.) Super built-up Area","2 BHK
2 Baths",2 BHK Residential Apartment in Mansarovar Extension
19,₹ 84 Lac,"2,415 sq.ft.
(224 sq.m.) Super built-up Area","4 BHK
4 Baths",4 BHK Residential Apartment in Jagatpura
20,₹ 41.11 Lac,"799 sq.ft.
(74 sq.m.) Carpet Area",2 BHK,2 BHK Residential Apartment in Ajmer Road
21,₹ 54.38 Lac Onwards,"1,057-1,218 sq.ft.
(98-113 sq.m.) Carpet Area",,3 BHK Residential Apartment in Ajmer Road
22,₹ 41 Lac,"1,231 sq.ft.
(114 sq.m.) Super built-up Area","2 BHK
2 Baths",2 BHK Residential Apartment in Jagatpura
23,₹ 1.53 - 1.65 Cr,"2,214-2,389 sq.ft.
(206-222 sq.m.) Super built-up Area",,4 BHK Residential Apartment in Raja Park
24,₹ 1.14 - 1.35 Cr,"1,652-1,959 sq.ft.
(153-182 sq.m.) Super built-up Area",,3 BHK Residential Apartment in Raja Park
25,₹ 51 Lac Onwards,"1,490-1,677 sq.ft.
(138-156 sq.m.) Super built-up Area",,3 BHK Residential Apartment in Jagatpura
26,"₹ 37.9 Lac
₹ 7,814/sq.ft.","485 sq.ft.
(45 sq.m.) Super built-up Area","1 RK
1 Bath",(1 RK) Studio Apartment in Tonk Road
27,"₹ 37.9 Lac
₹ 7,814/sq.ft.","485 sq.ft.
(45 sq.m.) Super built-up Area",1 BHK,1 BHK Residential Apartment in Tonk Road
28,₹ 51 - 65 Lac,"1,165-1,470 sq.ft.
(108-137 sq.m.) Super built-up Area",3 BHK,3 BHK Residential Apartment in Malviya Nagar
29,₹ 1.45 - 1.48 Cr,"2,071-2,112 sq.ft.
(192-196 sq.m.) Super built-up Area",,3 BHK Residential Apartment in Tilak Nagar
30,₹ 66.15 Lac,"1,575 sq.ft.
(146 sq.m.) Super built-up Area","3 BHK
3 Baths",3 BHK Residential Apartment in Vaishali Nagar
