,apt_name,apt_rent_month,BHK,sq_ft,description
0,,"₹ 96.67 Lac
₹ 7,407/sq.ft.","2 BHK
2 Baths","1,305 sq.ft.
(121 sq.m.) Plot Area",2 Bedroom Independent House in Malviya Nagar
1,MD G4 Heights,₹ 55 Lac,"3 BHK
3 Baths","1,373 sq.ft.
(128 sq.m.) Super built-up Area",3 BHK Residential Apartment in Vaishali Nagar
2,Emaar Vaikunth at Jaipur Greens,"₹ 38 - 95 Lac
₹ 2,111/sq.ft.",,"1,800-4,500 sq.ft.
(167-418 sq.m.) Plot Area",Residential land / Plot in Mahapura
3,Gokul Kripa Kisaan Green Residency,₹ 11.65 - 20.99 Lac,,"999-1,800 sq.ft.
(93-167 sq.m.) Plot Area",Residential land / Plot in Jaisinghpura
4,Vinoba Bhave nagar,"₹ 2.53 Cr
₹ 6,111/sq.ft.",,"4,140 sq.ft.
(385 sq.m.) Plot Area",Residential land / Plot in Vaishali Nagar
5,Vrinda Gardens,₹ 41.71 Lac Onwards,,"1,231 sq.ft.
(114 sq.m.) Super built-up Area",2 BHK Residential Apartment in Jagatpura
6,Kedia Nikunj Villas,"₹ 65 Lac
₹ 4,460/sq.ft.","3 BHK
4 Baths","1,457 sq.ft.
(135 sq.m.) Built-up Area",3 Bedroom Independent House in Gandhi Path
7,Vrinda Gardens,₹ 52 Lac Onwards,,"1,490-1,677 sq.ft.
(138-156 sq.m.) Super built-up Area",3 BHK Residential Apartment in Jagatpura
8,Vrinda Gardens,₹ 84.21 Lac,"4 BHK
4 Baths","2,415 sq.ft.
(224 sq.m.) Super built-up Area",4 BHK Residential Apartment in Jagatpura
9,Manglamhome Anantara,₹ 92.5 Lac,4 BHK,"2,723 sq.ft.
(253 sq.m.) Built-up Area",4 Bedroom Independent House in Mahapura
10,Gokul Enclave,"₹ 7.75 - 23.25 Lac
₹ 861/sq.ft.",,"900-2,700 sq.ft.
(84-251 sq.m.) Plot Area",Residential land / Plot in Ajmer Road
11,UDB Orchid,"₹ 28 Lac
₹ 2,500/sq.ft.","2 BHK
2 Baths","1,151 sq.ft.
(107 sq.m.) Super built-up Area",2 BHK Residential Apartment in Ajmer Road
12,,"₹ 1.09 Cr
₹ 12,111/sq.ft.","5 BHK
2 Baths","900 sq.ft.
(84 sq.m.) Plot Area",5 Bedroom Independent House in Shastri Nagar
13,Kiara,₹ 44.95 Lac,"3 BHK
3 Baths","1,370 sq.ft.
(127 sq.m.) Super built-up Area",3 BHK Residential Apartment in Jagatpura
14,Kedia Nikunj Villas,"₹ 65 Lac
₹ 4,460/sq.ft.","3 BHK
4 Baths","1,457 sq.ft.
(135 sq.m.) Built-up Area",3 Bedroom Independent House in Gandhi Path
15,Shubh Villa,"₹ 60 - 80 Lac
₹ 3,875/sq.ft.",3 BHK,"1,600-2,000 sq.ft.
(149-186 sq.m.) Built-up Area",3 Bedroom Independent House in Mansarovar Extension
16,Ashiana Umang,₹ 41.11 Lac,2 BHK,"799 sq.ft.
(74 sq.m.) Carpet Area",2 BHK Residential Apartment in Ajmer Road
17,"5 JHA 18 , Jawahar Nagar","₹ 3.5 Cr
₹ 14,620/sq.ft.",,"2,394 sq.ft.
(222 sq.m.) Plot Area",Residential land / Plot in Jawahar Nagar
18,Urbana Jewels,"₹ 33.5 Lac
₹ 2,253/sq.ft.","2 BHK
2 Baths","1,486 sq.ft.
(138 sq.m.) Super built-up Area",2 BHK Residential Apartment in Mansarovar Extension
19,Vrinda Gardens,₹ 84 Lac,"4 BHK
4 Baths","2,415 sq.ft.
(224 sq.m.) Super built-up Area",4 BHK Residential Apartment in Jagatpura
20,Ashiana Umang,₹ 41.11 Lac,2 BHK,"799 sq.ft.
(74 sq.m.) Carpet Area",2 BHK Residential Apartment in Ajmer Road
21,Ashiana Umang,₹ 54.38 Lac Onwards,,"1,057-1,218 sq.ft.
(98-113 sq.m.) Carpet Area",3 BHK Residential Apartment in Ajmer Road
22,Vrinda Gardens,₹ 41 Lac,"2 BHK
2 Baths","1,231 sq.ft.
(114 sq.m.) Super built-up Area",2 BHK Residential Apartment in Jagatpura
23,Manglam Park Infinia,₹ 1.53 - 1.65 Cr,,"2,214-2,389 sq.ft.
(206-222 sq.m.) Super built-up Area",4 BHK Residential Apartment in Raja Park
24,Manglam Park Infinia,₹ 1.14 - 1.35 Cr,,"1,652-1,959 sq.ft.
(153-182 sq.m.) Super built-up Area",3 BHK Residential Apartment in Raja Park
25,Vrinda Gardens,₹ 51 Lac Onwards,,"1,490-1,677 sq.ft.
(138-156 sq.m.) Super built-up Area",3 BHK Residential Apartment in Jagatpura
26,Triveni Golden Leaf,"₹ 37.9 Lac
₹ 7,814/sq.ft.","1 RK
1 Bath","485 sq.ft.
(45 sq.m.) Super built-up Area",(1 RK) Studio Apartment in Tonk Road
27,Triveni Golden Leaf,"₹ 37.9 Lac
₹ 7,814/sq.ft.",1 BHK,"485 sq.ft.
(45 sq.m.) Super built-up Area",1 BHK Residential Apartment in Tonk Road
28,Elite 16,₹ 51 - 65 Lac,3 BHK,"1,165-1,470 sq.ft.
(108-137 sq.m.) Super built-up Area",3 BHK Residential Apartment in Malviya Nagar
29,Royal Eminence,₹ 1.45 - 1.48 Cr,,"2,071-2,112 sq.ft.
(192-196 sq.m.) Super built-up Area",3 BHK Residential Apartment in Tilak Nagar
30,Vatsal Libra Residency,₹ 66.15 Lac,"3 BHK
3 Baths","1,575 sq.ft.
(146 sq.m.) Super built-up Area",3 BHK Residential Apartment in Vaishali Nagar
